RGB,缴纳地,个人-养老,个人-医疗,个人-失业,个人-大病,个人-公积金,个人-合计,社保-上限,社保-下限,医疗-上限,医疗-下限,公积金-上限,公积金-下限
RBAC,苏州园区,8.00%,2.00%,0.50%,5.00 ,8.00%,18.50%,24762,4952,24762,4952,38900,4952
RBAC,上海,8.00%,2.00%,0.50%,,12.00%,22.50%,37302,7460,37302,7460,37302,2690
RBAC,深圳,8.00%,2.00%,0.20%,,12.00%,22.20%,27501,5500,33666,6733,44265,2360
RBCN,上海,8.00%,2.00%,0.50%,,12.00%,22.50%,37302,7460,37302,7460,37302,2690
RBCN,北京,8.00%,2.00%,0.50%,3.00 ,12.00%,22.50%,35811,7162,35811,7162,35811,2540
RBCN,武汉,8.00%,2.00%,0.30%,7.00 ,12.00%,22.30%,22488,4498,22488,4498,34560.25,2210
RBCN,深圳,8.00%,2.00%,0.20%,,12.00%,22.20%,44265,2520,33666,6733,44265,2520
RBCN,重庆,8.00%,2.00%,0.50%,5.00 ,12.00%,22.50%,22017,4404,22017,4404,30318,2330
RBCN,长春,8.00%,2.00%,0.30%,0.00 ,12.00%,22.30%,21966,4393.2,21966,4393.2,28949,2120
RBCN,广州,8.00%,2.00%,0.20%,,12.00%,22.20%,27501,5500,31179,6236,39828,2500
RBLC,上海,8.00%,2.00%,0.50%,,12.00%,22.50%,37302,7460,37302,7460,37302,2690
RBCT,上海,8.00%,2.00%,0.50%,,12.00%,22.50%,37302,7460,37302,7460,37302,2690
ETCN,上海,8.00%,2.00%,0.50%,,12.00%,22.50%,37302,7460,37302,7460,37302,2690
ETCN,北京,8.00%,2.00%,0.50%,3.00 ,12.00%,22.50%,35811,7162,35811,7162,35811,2540
ETCN,武汉,8.00%,2.00%,0.30%,7.00 ,12.00%,22.30%,22488,4498,22488,4498,34560.25,2210
ETCN,深圳,8.00%,2.00%,0.20%,,5.00%,15.20%,27501,5500,33666,6733,44265,2360
ETCN,重庆,8.00%,2.00%,0.50%,5.00 ,12.00%,22.50%,21793,4359,21793,4359,30318,2230
PTCD,东莞,8.00%,0.50%,0.20%,,5.00%,13.70%,27501,4767,27501,4767,27391,1900
CSCW,无锡,8.00%,2.00%,0.50%,,12.00%,22.50%,24762,4952,24762,4952,35200,2490
ASCJ,济南,8.00%,2.00%,0.30%,,9.00%,19.30%,22518,4504,22518,4504,32586,2400
AACN,上海,8.00%,2.00%,0.50%,,12.00%,22.50%,37302,7460,37302,7460,37302,2690
RBTS,上海,8.00%,2.00%,0.50%,,12.00%,22.50%,37302,7460,37302,7460,37302,2690
RBTS,成都,8.00%,2.00%,0.40%,,12.00%,22.40%,22938,4588,22938,4588,31378,2100
RBTS,北京,8.00%,2.00%,0.50%,3.00 ,12.00%,22.50%,35811,7162,35811,7162,35811,2540
DCCB,北京,8.00%,2.00%,0.50%,3.00 ,12.00%,22.50%,35811,7162,35811,7162,35811,2540
DCCC,常州市武进区,8.00%,2.00%,0.50%,,10.00%,20.50%,24762,4952,24762,4952,33800,2490
PTCN,杭州,8.00%,2.00%,0.50%,,12.00%,22.50%,25299,4986,25299,4986,40694,2490
RBAC,常州市武进区,8.00%,2.00%,0.50%,,10.00%,20.50%,24762,4952,24762,4952,33800,2490
